Region,Country_Program,Code_country,Direct_Participants,Indirect_Participants,Total,Link
,Where we work,,,,,https://www.crs.org/our-work-overseas/where-we-work
Asia Region,India,IND,5870,17443,23313,https://www.crs.org/our-work-overseas/where-we-work/india
Asia Region,Indonesia,IDN,1686,5166,6852,https://www.crs.org/our-work-overseas/where-we-work/indonesia
Asia Region,Myanmar,MMR,52,307,359,https://www.crs.org/our-work-overseas/where-we-work/myanmar
Asia Region,Nepal,NPL,2283,6959,9242,https://www.crs.org/our-work-overseas/where-we-work/nepal
Asia Region,Philippines,PHL,684,2736,3420,https://www.crs.org/our-work-overseas/where-we-work/philippines
Asia Region,East Timor,TLS,3784,17038,20822,https://www.crs.org/our-work-overseas/where-we-work/timor-leste-east-timor
Central Africa (CARO),Benin,BEN,39455,197101,236556,https://www.crs.org/our-work-overseas/where-we-work/benin
Central Africa (CARO),Burundi,BDI,42588,170352,212940,https://www.crs.org/our-work-overseas/where-we-work/burundi
Central Africa (CARO),Central African Republic,CAF,1063,2477,3540,https://www.crs.org/our-work-overseas/where-we-work/central-african-republic
Central Africa (CARO),Chad,TCD,1500,7500,9000,https://www.crs.org/our-work-overseas/where-we-work/chad
Central Africa (CARO),Republic of the Congo,COG,2500,12500,15000,https://www.crs.org/our-work-overseas/where-we-work/republic-congo
Central Africa (CARO),Democratic Republic of the Congo,COD,159905,1013047,1172952,https://www.crs.org/our-work-overseas/where-we-work/democratic-republic-congo
Central Africa (CARO),Nigeria,NGA,119471,397242,516713,https://www.crs.org/our-work-overseas/where-we-work/nigeria
Central Africa (CARO),Rwanda,RWA,54651,190347,244998,https://www.crs.org/our-work-overseas/where-we-work/rwanda
East Africa (EARO),Ethiopia,ETH,255332,1096916,1352248,https://www.crs.org/our-work-overseas/where-we-work/ethiopia
East Africa (EARO),Kenya,KEN,113,452,565,https://www.crs.org/our-work-overseas/where-we-work/kenya
East Africa (EARO),South Sudan,SDS,35194,193418,228612,https://www.crs.org/our-work-overseas/where-we-work/south-sudan
East Africa (EARO),Sudan,SDN,131415,626250,757665,https://www.crs.org/our-work-overseas/where-we-work/sudan
East Africa (EARO),Tanzania,TZA,196,784,980,https://www.crs.org/our-work-overseas/where-we-work/tanzania
East Africa (EARO),Uganda,UGA,52666,185981,238647,https://www.crs.org/our-work-overseas/where-we-work/uganda
Europe MidEast & Central Asia (EMECA),Afghanistan,AFG,4760,25921,30681,https://www.crs.org/our-work-overseas/where-we-work/afghanistan
Europe MidEast & Central Asia (EMECA),Bosnia and Herzegovina,BIH,80,132,212,https://www.crs.org/our-work-overseas/where-we-work/bosnia-and-herzegovina
Europe MidEast & Central Asia (EMECA),JWBG,PSX,775,4004,4779,https://www.crs.org/our-work-overseas/where-we-work/jwbg
Latin America & Caribbean (LACRO),El Salvador,SLV,3654,13253,16907,https://www.crs.org/our-work-overseas/where-we-work/el-salvador
Latin America & Caribbean (LACRO),Guatemala,GTM,3508,16989,20497,https://www.crs.org/our-work-overseas/where-we-work/guatemala
Latin America & Caribbean (LACRO),Haiti,HTI,8533,34132,42665,https://www.crs.org/our-work-overseas/where-we-work/haiti
Latin America & Caribbean (LACRO),Honduras,HND,2272,40518,42790,https://www.crs.org/our-work-overseas/where-we-work/honduras
Latin America & Caribbean (LACRO),Mexico,MEX,976,2926,3902,https://www.crs.org/our-work-overseas/where-we-work/mexico
Latin America & Caribbean (LACRO),Nicaragua,NIC,6782,59854,66636,https://www.crs.org/our-work-overseas/where-we-work/nicaragua
Southern Africa (SARO),Madagascar,MDG,2762,11048,13810,https://www.crs.org/our-work-overseas/where-we-work/madagascar
Southern Africa (SARO),Malawi,MWI,3614,12649,16263,https://www.crs.org/our-work-overseas/where-we-work/malawi
Southern Africa (SARO),Mozambique,MOZ,3130,12514,15644,https://www.crs.org/our-work-overseas/where-we-work/mozambique
Southern Africa (SARO),Zambia,ZMB,8988,50264,59252,https://www.crs.org/our-work-overseas/where-we-work/zambia
West Africa (WARO),Ghana,GHA,172152,1195971,1368123,https://www.crs.org/our-work-overseas/where-we-work/ghana
West Africa (WARO),Mali,MLI,10816,69420,80236,https://www.crs.org/our-work-overseas/where-we-work/mali
West Africa (WARO),Niger,NER,6057,35942,41999,https://www.crs.org/our-work-overseas/where-we-work/niger
West Africa (WARO),Senegal,SEN,5330,35646,40976,https://www.crs.org/our-work-overseas/where-we-work/senegal
West Africa (WARO),Sierra Leone,SLE,13407,51625,65032,https://www.crs.org/our-work-overseas/where-we-work/sierra-leone
West Africa (WARO),The Gambia,GMB,3282,26604,29886,https://www.crs.org/our-work-overseas/where-we-work/gambia
